0xxx0xxxxxxxxxxxxxxxx 00000001 # IE=0 (during fetch)
0xxx10000001000010011 00000001 # mul b, d
0xxx10000001000010100 00000001 # mul b, e
0xxx10000001000010101 00000001 # mul b, bp
0xxx10000001000010110 00000001 # mul b, sp
0xxx10000001000100000 00000001 # mul c, a
0xxx10000001000100001 00000001 # mul c, b
0xxx10000001000100010 00000001 # mul c, c
0xxx10000001000100011 00000001 # mul c, d
0xxx10000001000100100 00000001 # mul c, e
0xxx10000001000100101 00000001 # mul c, bp
0xxx10000001000100110 00000001 # mul c, sp
0xxx10000001000110000 00000001 # mul d, a
0xxx10000001000110001 00000001 # mul d, b
0xxx10000001000110010 00000001 # mul d, c
0xxx10000001000110011 00000001 # mul d, d
0xxx10000001000110100 00000001 # mul d, e
0xxx10000001000110101 00000001 # mul d, bp
0xxx10000001000110110 00000001 # mul d, sp
0xxx10000001001000000 00000001 # mul e, a
0xxx10000001001000001 00000001 # mul e, b
0xxx10000001001000010 00000001 # mul e, c
0xxx10000001001000011 00000001 # mul e, d
0xxx10000001001000100 00000001 # mul e, e
0xxx10000001001000101 00000001 # mul e, bp
0xxx10000001001000110 00000001 # mul e, sp
0xxx10000001001010000 00000001 # mul bp, a
0xxx10000001001010001 00000001 # mul bp, b
0xxx10000001001010010 00000001 # mul bp, c
0xxx10000001001010011 00000001 # mul bp, d
0xxx10000001001010100 00000001 # mul bp, e
0xxx10000001001010101 00000001 # mul bp, bp
0xxx10000001001010110 00000001 # mul bp, sp
0xxx10000001001100000 00000001 # mul sp, a
0xxx10000001001100001 00000001 # mul sp, b
0xxx10000001001100010 00000001 # mul sp, c
0xxx10000001001100011 00000001 # mul sp, d
0xxx10000001001100100 00000001 # mul sp, e
0xxx10000001001100101 00000001 # mul sp, bp
0xxx10000001001100110 00000001 # mul sp, sp
0xxx10000001100000000 00000001 # and a, a
0xxx10000001100000001 00000001 # and a, b
0xxx10000001100000010 00000001 # and a, c
0xxx10000001100000011 00000001 # and a, d
0xxx10000001100000100 00000001 # and a, e
0xxx10000001100000101 00000001 # and a, bp
0xxx10000001100000110 00000001 # and a, sp
0xxx10000001100010000 00000001 # and b, a
0xxx10000001100010001 00000001 # and b, b
0xxx10000001100010010 00000001 # and b, c
0xxx10000001100010011 00000001 # and b, d
0xxx10000001100010100 00000001 # and b, e
0xxx10000001100010101 00000001 # and b, bp
0xxx10000001100010110 00000001 # and b, sp
0xxx10000001100100000 00000001 # and c, a
0xxx10000001100100001 00000001 # and c, b
0xxx10000001100100010 00000001 # and c, c
0xxx10000001100100011 00000001 # and c, d
0xxx10000001100100100 00000001 # and c, e
0xxx10000001100100101 00000001 # and c, bp
0xxx10000001100100110 00000001 # and c, sp
0xxx10000001100110000 00000001 # and d, a
0xxx10000001100110001 00000001 # and d, b
0xxx10000001100110010 00000001 # and d, c
0xxx10000001100110011 00000001 # and d, d
0xxx10000001100110100 00000001 # and d, e
0xxx10000001100110101 00000001 # and d, bp
0xxx10000001100110110 00000001 # and d, sp
0xxx10000001101000000 00000001 # and e, a
0xxx10000001101000001 00000001 # and e, b
0xxx10000001101000010 00000001 # and e, c
0xxx10000001101000011 00000001 # and e, d
0xxx10000001101000100 00000001 # and e, e
0xxx10000001101000101 00000001 # and e, bp
0xxx10000001101000110 00000001 # and e, sp
0xxx10000001101010000 00000001 # and bp, a
0xxx10000001101010001 00000001 # and bp, b
0xxx10000001101010010 00000001 # and bp, c
0xxx10000001101010011 00000001 # and bp, d
0xxx10000001101010100 00000001 # and bp, e
0xxx10000001101010101 00000001 # and bp, bp
0xxx10000001101010110 00000001 # and bp, sp
0xxx10000001101100000 00000001 # and sp, a
0xxx10000001101100001 00000001 # and sp, b
0xxx10000001101100010 00000001 # and sp, c
0xxx10000001101100011 00000001 # and sp, d
0xxx10000001101100100 00000001 # and sp, e
0xxx10000001101100101 00000001 # and sp, bp
0xxx10000001101100110 00000001 # and sp, sp
0xxx10000010000000000 00000001 # or a, a
0xxx10000010000000001 00000001 # or a, b
0xxx10000010000000010 00000001 # or a, c
0xxx10000010000000011 00000001 # or a, d
0xxx10000010000000100 00000001 # or a, e
0xxx10000010000000101 00000001 # or a, bp
0xxx10000010000000110 00000001 # or a, sp
0xxx10000010000010000 00000001 # or b, a
0xxx10000010000010001 00000001 # or b, b
0xxx10000010000010010 00000001 # or b, c
0xxx10000010000010011 00000001 # or b, d
0xxx10000010000010100 00000001 # or b, e
0xxx10000010000010101 00000001 # or b, bp
0xxx10000010000010110 00000001 # or b, sp
0xxx10000010000100000 00000001 # or c, a
0xxx10000010000100001 00000001 # or c, b
0xxx10000010000100010 00000001 # or c, c
0xxx10000010000100011 00000001 # or c, d
0xxx10000010000100100 00000001 # or c, e
0xxx10000010000100101 00000001 # or c, bp
0xxx10000010000100110 00000001 # or c, sp
0xxx10000010000110000 00000001 # or d, a
0xxx10000010000110001 00000001 # or d, b
0xxx10000010000110010 00000001 # or d, c
0xxx10000010000110011 00000001 # or d, d
0xxx10000010000110100 00000001 # or d, e
0xxx10000010000110101 00000001 # or d, bp
0xxx10000010000110110 00000001 # or d, sp
0xxx10000010001000000 00000001 # or e, a
0xxx10000010001000001 00000001 # or e, b
0xxx10000010001000010 00000001 # or e, c
0xxx10000010001000011 00000001 # or e, d
0xxx10000010001000100 00000001 # or e, e
0xxx10000010001000101 00000001 # or e, bp
0xxx10000010001000110 00000001 # or e, sp
0xxx10000010001010000 00000001 # or bp, a
0xxx10000010001010001 00000001 # or bp, b
0xxx10000010001010010 00000001 # or bp, c
0xxx10000010001010011 00000001 # or bp, d
