0xxx0xxxxxxxxxxxxxxxx 000000000000000001111000 1 # IE=0 (during fetch)
0xxx10000000100110101 000010001111010010011000 1 # sub d, bp
0xxx10000000100110110 000010001111100010011000 1 # sub d, sp
0xxx10000000101000000 000010010010000010100000 1 # sub e, a
0xxx10000000101000001 000010010010010010100000 1 # sub e, b
0xxx10000000101000010 000010010010100010100000 1 # sub e, c
0xxx10000000101000011 000010010010110010100000 1 # sub e, d
0xxx10000000101000100 000010010011000010100000 1 # sub e, e
0xxx10000000101000101 000010010011010010100000 1 # sub e, bp
0xxx10000000101000110 000010010011100010100000 1 # sub e, sp
0xxx10000000101010000 000010010110000010101000 1 # sub bp, a
0xxx10000000101010001 000010010110010010101000 1 # sub bp, b
0xxx10000000101010010 000010010110100010101000 1 # sub bp, c
0xxx10000000101010011 000010010110110010101000 1 # sub bp, d
0xxx10000000101010100 000010010111000010101000 1 # sub bp, e
0xxx10000000101010101 000010010111010010101000 1 # sub bp, bp
0xxx10000000101010110 000010010111100010101000 1 # sub bp, sp
0xxx10000000101100000 000010011010000010110000 1 # sub sp, a
0xxx10000000101100001 000010011010010010110000 1 # sub sp, b
0xxx10000000101100010 000010011010100010110000 1 # sub sp, c
0xxx10000000101100011 000010011010110010110000 1 # sub sp, d
0xxx10000000101100100 000010011011000010110000 1 # sub sp, e
0xxx10000000101100101 000010011011010010110000 1 # sub sp, bp
0xxx10000000101100110 000010011011100010110000 1 # sub sp, sp
0xxx10000001000000000 000010000010000100000000 1 # mul a, a
0xxx10000001000000001 000010000010010100000000 1 # mul a, b
0xxx10000001000000010 000010000010100100000000 1 # mul a, c
0xxx10000001000000011 000010000010110100000000 1 # mul a, d
0xxx10000001000000100 000010000011000100000000 1 # mul a, e
0xxx10000001000000101 000010000011010100000000 1 # mul a, bp
0xxx10000001000000110 000010000011100100000000 1 # mul a, sp
0xxx10000001000010000 000010000110000100001000 1 # mul b, a
0xxx10000001000010001 000010000110010100001000 1 # mul b, b
0xxx10000001000010010 000010000110100100001000 1 # mul b, c
0xxx10000001000010011 000010000110110100001000 1 # mul b, d
0xxx10000001000010100 000010000111000100001000 1 # mul b, e
0xxx10000001000010101 000010000111010100001000 1 # mul b, bp
0xxx10000001000010110 000010000111100100001000 1 # mul b, sp
0xxx10000001000100000 000010001010000100010000 1 # mul c, a
0xxx10000001000100001 000010001010010100010000 1 # mul c, b
0xxx10000001000100010 000010001010100100010000 1 # mul c, c
0xxx10000001000100011 000010001010110100010000 1 # mul c, d
0xxx10000001000100100 000010001011000100010000 1 # mul c, e
0xxx10000001000100101 000010001011010100010000 1 # mul c, bp
0xxx10000001000100110 000010001011100100010000 1 # mul c, sp
0xxx10000001000110000 000010001110000100011000 1 # mul d, a
0xxx10000001000110001 000010001110010100011000 1 # mul d, b
0xxx10000001000110010 000010001110100100011000 1 # mul d, c
0xxx10000001000110011 000010001110110100011000 1 # mul d, d
0xxx10000001000110100 000010001111000100011000 1 # mul d, e
0xxx10000001000110101 000010001111010100011000 1 # mul d, bp
0xxx10000001000110110 000010001111100100011000 1 # mul d, sp
0xxx10000001001000000 000010010010000100100000 1 # mul e, a
0xxx10000001001000001 000010010010010100100000 1 # mul e, b
0xxx10000001001000010 000010010010100100100000 1 # mul e, c
0xxx10000001001000011 000010010010110100100000 1 # mul e, d
0xxx10000001001000100 000010010011000100100000 1 # mul e, e
0xxx10000001001000101 000010010011010100100000 1 # mul e, bp
0xxx10000001001000110 000010010011100100100000 1 # mul e, sp
0xxx10000001001010000 000010010110000100101000 1 # mul bp, a
0xxx10000001001010001 000010010110010100101000 1 # mul bp, b
0xxx10000001001010010 000010010110100100101000 1 # mul bp, c
0xxx10000001001010011 000010010110110100101000 1 # mul bp, d
0xxx10000001001010100 000010010111000100101000 1 # mul bp, e
0xxx10000001001010101 000010010111010100101000 1 # mul bp, bp
0xxx10000001001010110 000010010111100100101000 1 # mul bp, sp
0xxx10000001001100000 000010011010000100110000 1 # mul sp, a
0xxx10000001001100001 000010011010010100110000 1 # mul sp, b
0xxx10000001001100010 000010011010100100110000 1 # mul sp, c
0xxx10000001001100011 000010011010110100110000 1 # mul sp, d
0xxx10000001001100100 000010011011000100110000 1 # mul sp, e
0xxx10000001001100101 000010011011010100110000 1 # mul sp, bp
0xxx10000001001100110 000010011011100100110000 1 # mul sp, sp
0xxx10000001100000000 000010000010000110000000 1 # and a, a
0xxx10000001100000001 000010000010010110000000 1 # and a, b
0xxx10000001100000010 000010000010100110000000 1 # and a, c
0xxx10000001100000011 000010000010110110000000 1 # and a, d
0xxx10000001100000100 000010000011000110000000 1 # and a, e
0xxx10000001100000101 000010000011010110000000 1 # and a, bp
0xxx10000001100000110 000010000011100110000000 1 # and a, sp
0xxx10000001100010000 000010000110000110001000 1 # and b, a
0xxx10000001100010001 000010000110010110001000 1 # and b, b
0xxx10000001100010010 000010000110100110001000 1 # and b, c
0xxx10000001100010011 000010000110110110001000 1 # and b, d
0xxx10000001100010100 000010000111000110001000 1 # and b, e
0xxx10000001100010101 000010000111010110001000 1 # and b, bp
0xxx10000001100010110 000010000111100110001000 1 # and b, sp
0xxx10000001100100000 000010001010000110010000 1 # and c, a
0xxx10000001100100001 000010001010010110010000 1 # and c, b
0xxx10000001100100010 000010001010100110010000 1 # and c, c
0xxx10000001100100011 000010001010110110010000 1 # and c, d
0xxx10000001100100100 000010001011000110010000 1 # and c, e
0xxx10000001100100101 000010001011010110010000 1 # and c, bp
0xxx10000001100100110 000010001011100110010000 1 # and c, sp
0xxx10000001100110000 000010001110000110011000 1 # and d, a
0xxx10000001100110001 000010001110010110011000 1 # and d, b
0xxx10000001100110010 000010001110100110011000 1 # and d, c
0xxx10000001100110011 000010001110110110011000 1 # and d, d
0xxx10000001100110100 000010001111000110011000 1 # and d, e
0xxx10000001100110101 000010001111010110011000 1 # and d, bp
0xxx10000001100110110 000010001111100110011000 1 # and d, sp
0xxx10000001101000000 000010010010000110100000 1 # and e, a
0xxx10000001101000001 000010010010010110100000 1 # and e, b
0xxx10000001101000010 000010010010100110100000 1 # and e, c
0xxx10000001101000011 000010010010110110100000 1 # and e, d
0xxx10000001101000100 000010010011000110100000 1 # and e, e
0xxx10000001101000101 000010010011010110100000 1 # and e, bp
0xxx10000001101000110 000010010011100110100000 1 # and e, sp
0xxx10000001101010000 000010010110000110101000 1 # and bp, a
0xxx10000001101010001 000010010110010110101000 1 # and bp, b
0xxx10000001101010010 000010010110100110101000 1 # and bp, c
0xxx10000001101010011 000010010110110110101000 1 # and bp, d
0xxx10000001101010100 000010010111000110101000 1 # and bp, e
0xxx10000001101010101 000010010111010110101000 1 # and bp, bp
0xxx10000001101010110 000010010111100110101000 1 # and bp, sp
0xxx10000001101100000 000010011010000110110000 1 # and sp, a
0xxx10000001101100001 000010011010010110110000 1 # and sp, b
0xxx10000001101100010 000010011010100110110000 1 # and sp, c
0xxx10000001101100011 000010011010110110110000 1 # and sp, d
0xxx10000001101100100 000010011011000110110000 1 # and sp, e
0xxx10000001101100101 000010011011010110110000 1 # and sp, bp
0xxx10000001101100110 000010011011100110110000 1 # and sp, sp
0xxx10000010000000000 000010000010001000000000 1 # or a, a
0xxx10000010000000001 000010000010011000000000 1 # or a, b
0xxx10000010000000010 000010000010101000000000 1 # or a, c
0xxx10000010000000011 000010000010111000000000 1 # or a, d
0xxx10000010000000100 000010000011001000000000 1 # or a, e
0xxx10000010000000101 000010000011011000000000 1 # or a, bp
0xxx10000010000000110 000010000011101000000000 1 # or a, sp
0xxx10000010000010000 000010000110001000001000 1 # or b, a
0xxx10000010000010001 000010000110011000001000 1 # or b, b
0xxx10000010000010010 000010000110101000001000 1 # or b, c
0xxx10000010000010011 000010000110111000001000 1 # or b, d
0xxx10000010000010100 000010000111001000001000 1 # or b, e
0xxx10000010000010101 000010000111011000001000 1 # or b, bp
0xxx10000010000010110 000010000111101000001000 1 # or b, sp
0xxx10000010000100000 000010001010001000010000 1 # or c, a
0xxx10000010000100001 000010001010011000010000 1 # or c, b
0xxx10000010000100010 000010001010101000010000 1 # or c, c
0xxx10000010000100011 000010001010111000010000 1 # or c, d
0xxx10000010000100100 000010001011001000010000 1 # or c, e
0xxx10000010000100101 000010001011011000010000 1 # or c, bp
